nom,prenom,adresse_rue,ville,code_postal
Bordeleau,CLEMENCE,"150, boulevard Queen-Victoria",Sherbrooke,J1H5H9
Jodoin,ELLA,"600, rue Thibault",Sherbrooke,J1H5H9
Groulx,LEANE,"138, rue Principale",Métis-sur-Mer,G0J1S0
Brazeau,SARA,"88, rue des Érables",Grenville-sur-la-Rouge,J0V1B0
Simon,LOU,"88, rue des Érables",Grenville-sur-la-Rouge,J0V1B0
Belley,WILLIAM,"300, chemin Saint-Charles",Longueuil,J4H1E6
Lebeau,SAMUEL,"156, boulevard Churchill",Longueuil,J4V2M3
Larrivée,ALEXIS,"4250, chemin de la Savane",Longueuil,J3Y9G4
Major,THOMAS,"543, chemin de la Côte-Sainte-Cathe",Montréal,H2V4R2
Boissonneault,NATHAN,"7701, boulevard Louis-H.-La Fontain",Montréal,H1K4B9
Patenaude,GABRIEL,"4555, rue de Verdun",Montréal,H4G1M4
Alarie,ANTOINE,"8400, boulevard Lacordaire",Montréal,H1R3B1
Carpentier,JUSTIN,"777, boulevard Marcel-Laurin",Montréal,H4M2M7
Grenon,OLIVIER,"4243, rue de Charleroi",Montréal,H1H5R5
Bossé,FELIX,"55, avenue Dupras",Montréal,H8R4A8
Bessette,ZACHARY,"800, boulevard De Maisonneuve E.",Montréal,H2L4L8
Lajeunesse,XAVIER,"815, avenue Bel-Air",Montréal,H4C2K4
Barbeau,JEREMY,"201, avenue Laurier Est, Étage 5e",Montréal,H2T3E6
Miller,ALEXANDRE,"6854, rue Sherbrooke E.",Montréal,H1N1E1
Masson,MATHIS,"555, rue Chabanel O., #600",Montréal,H2N2H8
Cournoyer,JACOB,"5650, rue D'Iberville, 2e Ét.",Montréal,H2G2B3
Ratté,ANTHONY,"405, avenue Ogilvy, #200",Montréal,H3N1M3
Chrétien,RAPHAEL,"1800, boulevard Saint-Joseph Est",Montréal,H8S2N4
Bourgault,EMILE,"13665, boulevard de Pierrefonds",Montréal,H9A2Z4
Leboeuf,VINCENT,"350, montée de l'Église",Montréal,H9C1G9
Nolet,NICOLAS,"12090, rue Notre-Dame E.",Montréal,H1B2Z1
Sylvestre,BENJAMIN,"5160, boulevard Décarie (Montréal),",Montréal,H3X2H9
Rainville,MAXIME,"399, rue Saint-Joseph E.",Québec,G1K8E2
Sénécal,TRISTAN,"330, rue Chabot",Québec,G1M3J5
Chaput,NOAH,"1130, route de l'Église",Québec,G1V4X6
Méthot,ADAM,"160, 76e Rue E.",Québec,G1H7H5
Desaulniers,SIMON,"10, rue Hugues-Pommier",Québec,G1E4T9
Lemelin,ETIENNE,"3490, route de l'Aéroport",Québec,G3K1X5
Reid,CHARLES,"150, boulevard du Saguenay Est",Saguenay,G7H5B8
Lee,MATHIEU,"2354, rue Saint-Dominique",Saguenay,G7X7W7
Jacob,EDOUARD,"422, rue de Victoria",Saguenay,G7B3M4
Michel,DAVID,"996, rue de la Concorde",Lévis,G6W7W9
Désilets,LOIC,"959, rue Nolin",Lévis,G6W7W9
Falardeau,LUCAS,"1, place Chamberland",Lévis,G6W7W9
Bureau,ALEX,"133, rue Laval",Sherbrooke,J1H5H9
Gignac,GUILLAUME,"967, rue du Conseil",Sherbrooke,J1G1L9
Lortie,PHILIPPE,"150, boulevard Queen-Victoria",Sherbrooke,J1H5H9
Mélançon,HUGO,"600, rue Thibault",Sherbrooke,J1H5H9
Primeau,JULIEN,"138, rue Principale",Métis-sur-Mer,G0J1S0
Bourget,VICTOR,"88, rue des Érables",Grenville-sur-la-Rouge,J0V1B0
Robinson,TOMMY,"88, rue des Érables",Grenville-sur-la-Rouge,J0V1B0
Chénier,LOUIS,"300, chemin Saint-Charles",Longueuil,J4H1E6
Malenfant,DYLAN,"156, boulevard Churchill",Longueuil,J4V2M3
St-Amour,CEDRIC,"4250, chemin de la Savane",Longueuil,J3Y9G4
Langlais,MICHAEL,"543, chemin de la Côte-Sainte-Cathe",Montréal,H2V4R2
Williams,JONATHAN,"7701, boulevard Louis-H.-La Fontain",Montréal,H1K4B9
Lécuyer,ISAAC,"4555, rue de Verdun",Montréal,H4G1M4
Carbonneau,LIAM,"8400, boulevard Lacordaire",Montréal,H1R3B1
Charles,MATHIAS,"777, boulevard Marcel-Laurin",Montréal,H4M2M7
